drug_id,smiles
Durg::0,CC(=O)N[C@H](Cc1ccc2ccccc2c1)C(=O)N[C@H](Cc1ccc(Cl)cc1)C(=O)N[C@H](Cc1cccnc1)C(=O)N[C@@H](CO)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@H](CCCNC(N)=O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N1CCC[C@H]1C(=O)N[C@H](C)C(N)=O
Durg::1,Cc1ncc(C[n+]2csc(CCO)c2C)c(N)n1
Durg::2,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/CO)C(C)(C)CCC1
Durg::3,CC[C@H](C)C(=O)O[C@H]1C[C@H](O)C=C2C=C[C@H](C)[C@H](CC[C@@H](O)C[C@@H](O)CC(=O)O)[C@H]21
Durg::4,COCCCC/C(=N\OCCN)c1ccc(C(F)(F)F)cc1
Durg::5,CCCCC(=O)N(Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1)[C@H](C(=O)O)C(C)C
Durg::6,CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1[C@H](C(=O)O)C[C@@H]2CCC[C@@H]21
Durg::7,CC1(C)O[C@@H]2C[C@H]3[C@@H]4C[C@H](F)C5=CC(=O)C=C[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1
Durg::8,NCC(CC(=O)O)c1ccc(Cl)cc1
Durg::9,CC(N)Cc1ccccc1
Durg::10,CN1CCC[C@H]1c1cccnc1
Durg::11,CC1O[C@@]2(CS1)CN1CCC2CC1
Durg::12,O=C1Nc2ccc(Cl)cc2C(c2ccccc2Cl)=NC1O
Durg::13,COC(=O)CCc1ccc(OCC(O)CNC(C)C)cc1
Durg::14,CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)c1cnccn1)B(O)O
Durg::15,CC(C)(N)Cc1ccccc1
Durg::16,COc1cccc([C@@]2(O)CCCC[C@@H]2CN(C)C)c1
Durg::17,CC(C)NCC(O)COc1ccc(CCOCC2CC2)cc1
Durg::18,OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F
Durg::19,Cc1c(C)c2c(c(C)c1O)CCC(C)(COc1ccc(CC3SC(=O)NC3=O)cc1)O2
Durg::20,CCOC(=O)C1=C[C@@H](OC(CC)CC)[C@H](NC(C)=O)[C@@H](N)C1
Durg::21,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O
Durg::22,CC1=C2[N+]3=C(C=C4[N+]5=C(C(C)=C6N7[C@@H]8[C@H](CC(N)=O)[C@@]6(C)CCC(=O)NC[C@@H](C)OP(=O)([O-])O[C@@H]6[C@@H](CO)O[C@@H]([C@@H]6O)n6c[n+](c9cc(C)c(C)cc96)[Co-3]753(O)[N+]3=C1[C@@H](CCC(N)=O)[C@](C)(CC(N)=O)[C@]83C)[C@@H](CCC(N)=O)C4(C)C)[C@@H](CCC(N)=O)[C@]2(C)CC(N)=O
Durg::23,Cn1c(=O)c2c(ncn2C)n(C)c1=O
Durg::24,C[N+](C)(C)CCOC(=O)CCC(=O)OCC[N+](C)(C)C
Durg::25,CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)N4CCN(C)CC4)ccc3OCC)nc12
Durg::26,CN(CCOc1ccc(NS(C)(=O)=O)cc1)CCc1ccc(NS(C)(=O)=O)cc1
Durg::27,CCc1nc(N)nc(N)c1-c1ccc(Cl)cc1
Durg::28,COC(=O)[C@H]1[C@H]2C[C@@H]3c4[nH]c5cc(OC)ccc5c4CCN3C[C@H]2C[C@@H](OC(=O)c2cc(OC)c(OC)c(OC)c2)[C@@H]1OC
Durg::29,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(C)O
Durg::30,Clc1ccccc1CN1CCc2sccc2C1
Durg::31,COc1ccc(-c2ccc3cc(C(=O)O)ccc3c2)cc1C12CC3CC(CC(C3)C1)C2
Durg::32,COc1ccc(OC)c(C(O)CNC(=O)CN)c1
Durg::33,COc1ccnc(CS(=O)c2nc3ccc(OC(F)F)cc3[nH]2)c1OC
Durg::34,CN(C)CCCC1(c2ccc(F)cc2)OCc2cc(C#N)ccc21
Durg::35,CN1CCC[C@@H]1Cc1c[nH]c2ccc(CCS(=O)(=O)c3ccccc3)cc12
Durg::36,COc1c(N2C[C@@H]3CCCN[C@@H]3C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12
Durg::37,Cc1c(O)cccc1C(=O)N[C@@H](CSc1ccccc1)[C@H](O)CN1C[C@H]2CCCC[C@H]2C[C@H]1C(=O)NC(C)(C)C
Durg::38,CCC1=C(C)CN(C(=O)NCCc2ccc(S(=O)(=O)NC(=O)N[C@H]3CC[C@H](C)CC3)cc2)C1=O
Durg::39,CC(C)(C)NC(=O)[C@@H]1CN(Cc2cccnc2)CCN1C[C@@H](O)C[C@@H](Cc1ccccc1)C(=O)N[C@H]1c2ccccc2C[C@H]1O
Durg::40,CC[C@H](C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]21
Durg::41,FC(F)OC(F)(F)C(F)Cl
Durg::42,CC(C)C[C@H](CN)CC(=O)O
Durg::43,CN1C(=O)C(O)N=C(c2ccccc2)c2cc(Cl)ccc21
Durg::44,Cc1[nH]c(=O)c(C#N)cc1-c1ccncc1
Durg::45,Cc1ccnc2c1NC(=O)c1cccnc1N2C1CC1
Durg::46,Nc1nc(Cl)nc2c1ncn2[C@H]1C[C@H](O)[C@@H](CO)O1
Durg::47,COc1ccccc1OCC(O)CN1CCN(CC(=O)Nc2c(C)cccc2C)CC1
Durg::48,O=C1Cc2cc(CCN3CCN(c4nsc5ccccc45)CC3)c(Cl)cc2N1
Durg::49,CCC(CO)NC(=O)[C@@H]1C=C2c3cccc4c3c(cn4C)C[C@H]2N(C)C1
Durg::50,C=CCN1C[C@H](C(=O)N(CCCN(C)C)C(=O)NCC)C[C@@H]2c3cccc4[nH]cc(c34)C[C@H]21
Durg::51,Nc1ccc(S(=O)(=O)c2ccc(N)cc2)cc1
Durg::52,O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1
Durg::53,C[C@H]1c2cccc(O)c2C(=O)C2=C(O)[C@]3(O)C(=O)C(C(N)=O)=C(O)[C@@H](N(C)C)[C@@H]3[C@@H](O)[C@@H]21
Durg::54,Clc1ccccc1C(c1ccccc1)(c1ccccc1)n1ccnc1
Durg::55,O=C1CN2Cc3c(ccc(Cl)c3Cl)N=C2N1
Durg::56,Cc1noc(NS(=O)(=O)c2ccc(N)cc2)c1C
Durg::57,COCCc1ccc(OCC(O)CNC(C)C)cc1
Durg::58,CCCN(CCC)CCc1cccc2c1CC(=O)N2
Durg::59,CC(=O)Nc1c(I)c(NC(C)=O)c(I)c(C(=O)O)c1I
Durg::60,CC1(C)O[C@@H]2CO[C@@]3(COS(N)(=O)=O)OC(C)(C)O[C@H]3[C@@H]2O1
Durg::61,COc1cc(NS(C)(=O)=O)ccc1Nc1c2ccccc2nc2ccccc12
Durg::62,Cn1c(=O)c2[nH]cnc2n(C)c1=O
Durg::63,CC1CNc2c(cccc2S(=O)(=O)N[C@@H](CCCNC(=N)N)C(=O)N2CC[C@@H](C)C[C@@H]2C(=O)O)C1
Durg::64,CC(C)N(CCC(C(N)=O)(c1ccccc1)c1ccccn1)C(C)C
Durg::65,CCN(CC)CC(=O)Nc1c(C)cccc1C
Durg::66,NCCC(O)(P(=O)(O)O)P(=O)(O)O
Durg::67,CN1CCC[C@@H]1CCO[C@](C)(c1ccccc1)c1ccc(Cl)cc1
Durg::68,C[C@H]1O[C@H](O[C@@H]2[C@@H](CO)O[C@H](O[C@H]([C@H](O)CO)[C@H](O)[C@@H](O)C=O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1N[C@H]1C=C(CO)[C@@H](O)[C@H](O)[C@H]1O
Durg::69,COc1ccc(C(CN(C)C)C2(O)CCCCC2)cc1
Durg::70,CC(C)OC(=O)CCC/C=C\C[C@H]1[C@@H](O)C[C@@H](O)[C@@H]1/C=C/[C@@H](O)COc1cccc(C(F)(F)F)c1
Durg::71,CC(=O)OCC(=O)[C@@]12OC3(CCCC3)O[C@@H]1C[C@H]1[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]12C
Durg::72,CNCC[C@@H](Oc1ccccc1C)c1ccccc1
Durg::73,O=C(O)CCCc1ccc(N(CCCl)CCCl)cc1
Durg::74,CCOC(=O)c1cncn1[C@H](C)c1ccccc1
Durg::75,Cc1nc(=O)c2cc(CN(C)c3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)s3)ccc2[nH]1
Durg::76,CN1CC[C@]23c4c5ccc(O)c4O[C@H]2[C@@H](O)C=C[C@H]3[C@H]1C5
Durg::77,CCCN1CCCC[C@H]1C(=O)Nc1c(C)cccc1C
Durg::78,CCCCN1CCCCC1C(=O)Nc1c(C)cccc1C
Durg::79,Nc1nc(=O)c2ncn(CCC(CO)CO)c2[nH]1
Durg::80,NC[C@H]1CC[C@H](C(=O)O)CC1
Durg::81,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(S[C@@H]3CN[C@H](C(=O)Nc4cccc(C(=O)O)c4)C3)[C@H](C)[C@H]12
Durg::82,C=C(c1ccc(C(=O)O)cc1)c1cc2c(cc1C)C(C)(C)CCC2(C)C
Durg::83,CCCCCCCN(CC)CCCC(O)c1ccc(NS(C)(=O)=O)cc1
Durg::84,NS(=O)(=O)c1cc(C2(O)NC(=O)c3ccccc32)ccc1Cl
Durg::85,CCCC(C)C1(CC)C(=O)NC(=O)NC1=O
Durg::86,CCCC(CCC)C(=O)O
Durg::87,CN(C)CCc1c[nH]c2ccc(C[C@H]3COC(=O)N3)cc12
Durg::88,CC(=O)Nc1ccc(O)cc1
Durg::89,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1
Durg::90,COc1ccc2c3c1O[C@H]1[C@@H](O)C=C[C@H]4[C@@H](C2)N(C)CC[C@]314
Durg::91,CCN1CCN(C(=O)N[C@@H](C(=O)N[C@@H]2C(=O)N3[C@@H](C(=O)O)C(C)(C)S[C@H]23)c2ccccc2)C(=O)C1=O
Durg::92,CN1C[C@H](C(=O)N[C@]2(C)O[C@@]3(O)[C@@H]4CCCN4C(=O)[C@H](Cc4ccccc4)N3C2=O)C[C@@H]2c3cccc4[nH]cc(c34)C[C@H]21
Durg::93,CN(C)CCC=C1c2ccccc2CCc2ccccc21
Durg::94,Cc1ccc(C(=O)c2cc(O)c(O)c([N+](=O)[O-])c2)cc1
Durg::95,CC(=O)[C@@]1(O)CC[C@H]2[C@@H]3C[C@H](C)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C
Durg::96,CN1CC[C@]23c4c5ccc(O)c4O[C@H]2C(=O)CC[C@H]3[C@H]1C5
Durg::97,COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1
Durg::98,CC[C@@H](CO)NCCN[C@@H](CC)CO
Durg::99,CN(C)C(=N)NC(=N)N
Durg::100,CCC(=O)C(CC(C)N(C)C)(c1ccccc1)c1ccccc1
Durg::101,Cc1cc2c(s1)Nc1ccccc1N=C2N1CCN(C)CC1
Durg::102,CC(C)NCC(O)COc1ccc(CC(N)=O)cc1
Durg::103,CC[C@@H]1/C=C(\C)C[C@H](C)C[C@H](OC)[C@H]2O[C@@](O)(C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@H](/C(C)=C/[C@@H]3CC[C@H](Cl)[C@H](OC)C3)[C@H](C)[C@@H](O)CC1=O)[C@H](C)C[C@@H]2OC
Durg::104,COc1ccc2nc(S(=O)Cc3ncc(C)c(OC)c3C)[nH]c2c1
Durg::105,NC(=O)c1cnccn1
Durg::106,O=C(O)COCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1
Durg::107,COc1ccc([C@@H]2Sc3ccccc3N(CCN(C)C)C(=O)[C@@H]2OC(C)=O)cc1
Durg::108,CNCCCC1c2ccccc2C=Cc2ccccc21
Durg::109,COc1cc2nc(N(C)CCCNC(=O)C3CCCO3)nc(N)c2cc1OC
Durg::110,CN1C(=O)CC(=O)N(c2ccccc2)c2cc(Cl)ccc21
Durg::111,Nc1cc(N2CCCCC2)nc(N)[n+]1[O-]
Durg::112,CC(=O)O[C@]1(C(C)=O)CC[C@H]2[C@@H]3C=C(C)C4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C
Durg::113,C[C@H]1[C@H](NC(=O)/C(=N\OC(C)(C)C(=O)O)c2csc([NH3+])n2)C(=O)N1S(=O)(=O)[O-]
Durg::114,O=c1[nH]c2cc(Cl)ccc2o1
Durg::115,CCC1(c2ccc(N)cc2)CCC(=O)NC1=O
Durg::116,OC(c1cc(C(F)(F)F)nc2c(C(F)(F)F)cccc12)C1CCCCN1
Durg::117,Nc1ccc(S(=O)(=O)Nc2ncccn2)cc1
Durg::118,CCC1=C[C@@H]2CN(C1)Cc1c([nH]c3ccccc13)[C@@](C(=O)OC)(c1cc3c(cc1OC)N(C)[C@H]1[C@@](O)(C(=O)OC)[C@H](OC(C)=O)[C@]4(CC)C=CCN5CC[C@]31[C@@H]54)C2
Durg::119,CCCCCOc1ccc(-c2ccc(-c3ccc(C(=O)N[C@H]4C[C@@H](O)[C@@H](O)NC(=O)[C@@H]5[C@@H](O)[C@@H](C)CN5C(=O)[C@H]([C@@H](C)O)NC(=O)[C@H]([C@H](O)[C@@H](O)c5ccc(O)cc5)NC(=O)[C@@H]5C[C@@H](O)CN5C(=O)[C@H]([C@@H](C)O)NC4=O)cc3)cc2)cc1
Durg::120,CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1
Durg::121,O.O=S(=O)(OC[C@H]1O[C@H](O[C@]2(COS(=O)(=O)O[Al](O)O)O[C@H](COS(=O)(=O)O[Al](O)O)[C@@H](OS(=O)(=O)O[Al](O)O)[C@@H]2OS(=O)(=O)O[Al](O)O)[C@H](OS(=O)(=O)O[Al](O)O)[C@@H](OS(=O)(=O)O[Al](O)O)[C@@H]1OS(=O)(=O)O[Al](O)O)O[Al](O)O.O[Al](O)O
Durg::122,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21CC
Durg::123,NC[C@H](O)c1ccc(O)c(O)c1
Durg::124,Nc1ccn(C[C@@H](CO)OCP(=O)(O)O)c(=O)n1
Durg::125,CN1CCN2c3ncccc3Cc3ccccc3C2C1
Durg::126,CCCC(C)(COC(N)=O)COC(N)=O
Durg::127,CC(C)(C)NC[C@H](O)COc1nsnc1N1CCOCC1
Durg::128,CCCCC[C@H](O)CC[C@@H]1[C@H]2Cc3cccc(OCC(=O)O)c3C[C@H]2C[C@H]1O
Durg::129,C1C(O1)CCl.C(CNCCNCCNCCN)N
Durg::130,OC(CCN1CCCCC1)(c1ccccc1)C1CCCCC1
Durg::131,O=C1c2cccc3c2[C@H](CCC3)CN1[C@@H]1CN2CCC1CC2
Durg::132,Cc1cccc(C)c1OCC(C)N
Durg::133,CCOC(=O)C1=C(COCCN)NC(C)=C(C(=O)OC)C1c1ccccc1Cl
Durg::134,Nc1c2c(nc3ccccc13)CCCC2
Durg::135,Nc1nc(N)c2nc(-c3ccccc3)c(N)nc2n1
Durg::136,CNC[C@H](O)c1cccc(O)c1
Durg::137,C[C@H]1O[C@@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3[C@@H](O)C[C@H](O[C@H]4CC[C@]5(C)[C@H]6C[C@@H](O)[C@]7(C)[C@@H](C8=CC(=O)OC8)CC[C@]7(O)[C@@H]6CC[C@@H]5C4)O[C@@H]3C)O[C@@H]2C)C[C@H](O)[C@@H]1O
Durg::138,COCCOC(=O)C1=C(C)NC(C)=C(C(=O)OC(C)C)C1c1cccc([N+](=O)[O-])c1
Durg::139,CCCC(C)(COC(N)=O)COC(=O)NC(C)C
Durg::140,CC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C
Durg::141,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)ccn1
Durg::142,COC1=CC(=O)C[C@@H](C)[C@]12Oc1c(Cl)c(OC)cc(OC)c1C2=O
Durg::143,COC(=O)C1=C(C)NC(C)=C(C(=O)OCC(C)C)C1c1ccccc1[N+](=O)[O-]
Durg::144,Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1)=NC2
Durg::145,CN1CCN(C2=Nc3ccccc3Oc3ccc(Cl)cc32)CC1
Durg::146,C[N+](C)(C)CCOC(N)=O
Durg::147,CN(CCOc1ccc(CC2SC(=O)NC2=O)cc1)c1ccccn1
Durg::148,CCCN[C@H]1CCc2nc(N)sc2C1
Durg::149,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccccc3)C(=O)N2[C@H]1C(=O)O
Durg::150,CC1(C)S[C@@H]2[C@H](NC(=O)COc3ccccc3)C(=O)N2[C@H]1C(=O)O
Durg::151,C=CCC1(C(C)CCC)C(=O)NC(=O)NC1=O
Durg::152,CCCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO
Durg::153,CC(=O)S[C@@H]1CC2=CC(=O)CC[C@]2(C)[C@H]2CC[C@@]3(C)[C@@H](CC[C@@]34CCC(=O)O4)[C@@H]21
Durg::154,COC(=O)C(c1ccccc1)C1CCCCN1
Durg::155,COc1ccccc1OCC(O)COC(N)=O
Durg::156,Cc1ccc(-c2nc3ccc(C)cn3c2CC(=O)N(C)C)cc1
Durg::157,CC(=O)OCC(CCn1cnc2cnc(N)nc21)COC(C)=O
Durg::158,Cl[C@H]1[C@H](Cl)[C@@H](Cl)[C@@H](Cl)[C@H](Cl)[C@H]1Cl
Durg::159,CN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1
Durg::160,CN1CCC(=C2c3ccccc3C=Cc3ccccc32)CC1
Durg::161,Oc1ncnc2[nH]ncc12
Durg::162,CC(C)(O/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(C[n+]3ccccc3)CS[C@H]12)c1csc(N)n1)C(=O)O
Durg::163,COCc1c(C(C)C)nc(C(C)C)c(/C=C/[C@@H](O)C[C@@H](O)CC(=O)O)c1-c1ccc(F)cc1
Durg::164,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC
Durg::165,Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)C2(F)F)c(=O)n1
Durg::166,C=C1[C@@H](n2cnc3c(=O)nc(N)[nH]c32)C[C@H](O)[C@H]1CO
Durg::167,COc1cc([C@@H]2c3cc4c(cc3[C@@H](O[C@@H]3O[C@@H]5CO[C@@H](c6cccs6)O[C@H]5[C@H](O)[C@H]3O)[C@H]3COC(=O)[C@H]23)OCO4)cc(OC)c1O
Durg::168,O=C(N[C@H](CO)[C@H](O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl
Durg::169,Cc1c(OCC(F)(F)F)ccnc1CS(=O)c1nc2ccccc2[nH]1
Durg::170,CNCC(O)c1ccc(OC(=O)C(C)(C)C)c(OC(=O)C(C)(C)C)c1
Durg::171,O=C(CCCN1CC=C(n2c(=O)[nH]c3ccccc32)CC1)c1ccc(F)cc1
Durg::172,CCOC(=O)C1(c2ccccc2)CCN(C)CC1
Durg::173,CCOC(=O)N1CCC(=C2c3ccc(Cl)cc3CCc3cccnc32)CC1
Durg::174,COc1cc2nc(N3CCN(C(=O)c4ccco4)CC3)nc(N)c2cc1OC
Durg::175,CN(C)CCCN1c2ccccc2CCc2ccccc21
Durg::176,COc1cc(C)c(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O)c(C)c1C
